fav_cnt,play_cnt,tid,title,uin,encrypt_uin,nick,class
217629,33952220,7487144944,最·BLACKPINK,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
7093,1433122,7483738377,最·The Weeknd,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3936,274381,7482064311,Lauv私藏歌单,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
8429,2121911,7437798829,莫文蔚私藏,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4366,1382401,7460118092,粤语|演绎经典,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1085,109711,7455508773,最·Lou Reed,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1626,671130,7437734746,2019年度劲歌金曲奖,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
84622,65058112,7439124555,粤语|经典回忆录,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1332,118367,7437455794,最·Glass Animals,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3418,454042,7435491048,最·Dr.Dre,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
2295,532870,7422879209,最·苏慧伦,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
7216,1456987,7427465638,最·Sam Smith,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3304,443520,7422208092,最·Khalid,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3309,266204,7414773962,iKON私藏,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
3664,505122,7401432755,水晶男孩私藏,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
8065,3215950,6337012940,春节许愿池,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
10977,1085299,7427954695,环球官方精选,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4385,430491,7427948114,索尼新歌精选,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4022,470351,7427945911,华纳官方精选,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
5925,2432850,7388807058,回家路上的歌,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
7901,2953139,7287826095,华语| 逆向生长,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
82817,36422993,7319176779,神级·LIVE,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
32907,9040496,7357060291,节奏实验室,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
fav_cnt,play_cnt,tid,title,uin,encrypt_uin,nick,class
10590,4443562,7317843327,谢谢你 谢谢我,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
621,179712,7407142958,吐槽大会萧亚轩专场,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
14356,5665287,7297871790,华语流行|暗恋逃生口,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
12563,2324708,7297896496,白首待君还,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4758,2228754,7299398876,华语| 愉悦气息,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
5542,2012181,7299400624,华语| 自愈指南,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
4155,1886212,7295561382,华语| 心花怒放,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
